epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.23882,4.58257,6.41838,4.61321,0.00026,0.03333,0.00018,9e-05,4.17146,5.97175,4.15881,2e-05,2e-05,2e-05
2,14.4149,3.96987,5.39206,4.53614,0.00051,0.06667,0.00044,0.00012,4.17158,5.97361,4.1587,5.8812e-05,5.8812e-05,5.8812e-05
3,21.4216,4.4278,5.59193,4.4405,0.00051,0.06667,0.00043,0.00011,4.17171,5.97437,4.15858,9.604e-05,9.604e-05,9.604e-05
4,28.5277,4.14232,5.47465,4.29222,0.00051,0.06667,0.00046,0.00014,4.17197,5.97365,4.15844,0.000131684,0.000131684,0.000131684
5,35.7785,4.53821,5.33252,4.4606,0.00051,0.06667,0.00081,0.00016,4.17237,5.97238,4.15837,0.000165744,0.000165744,0.000165744
6,42.9616,4.40037,5.91562,4.36284,0.00026,0.03333,0.00036,0.00017,4.17297,5.97178,4.15838,0.00019822,0.00019822,0.00019822
7,50.096,4.14596,5.05093,4.28392,0.00026,0.03333,0.00033,0.00017,4.17376,5.97291,4.15849,0.000229112,0.000229112,0.000229112
8,57.3604,4.68009,5.53749,4.34978,0.00026,0.03333,0.00032,0.00013,4.17456,5.97247,4.1586,0.00025842,0.00025842,0.00025842
9,64.5428,4.00458,5.35803,4.22572,0.00051,0.06667,0.00053,0.00015,4.17502,5.97145,4.15868,0.000286144,0.000286144,0.000286144
10,71.6974,4.03091,5.65269,4.27181,0.00051,0.06667,0.00046,0.00013,4.1759,5.96988,4.15892,0.000312284,0.000312284,0.000312284
11,78.7288,3.46637,4.72053,4.30253,0.00051,0.06667,0.00044,0.00012,4.17671,5.96494,4.15918,0.00033684,0.00033684,0.00033684
12,85.8137,4.29634,5.93194,4.29811,0.00051,0.06667,0.00052,0.00013,4.1778,5.9569,4.15963,0.000359812,0.000359812,0.000359812
13,92.8838,3.87008,4.58897,4.1838,0.00051,0.06667,0.00047,0.00014,4.17915,5.9465,4.16022,0.0003812,0.0003812,0.0003812
14,100.541,4.39694,5.12986,4.08679,0.00051,0.06667,0.00045,0.00013,4.18073,5.93476,4.1611,0.000401004,0.000401004,0.000401004
15,108.872,3.92123,4.69585,4.08588,0.00051,0.06667,0.0004,0.00012,4.18239,5.9229,4.16212,0.000419224,0.000419224,0.000419224
16,116.577,3.74315,5.0135,4.10277,0.00051,0.06667,0.0004,0.00011,4.18348,5.91278,4.16328,0.00043586,0.00043586,0.00043586
17,123.647,3.56263,4.28643,4.04037,0.00051,0.06667,0.00041,0.00011,4.18462,5.90646,4.16442,0.000450912,0.000450912,0.000450912
18,130.879,4.1851,5.1526,4.00696,0.00051,0.06667,0.00043,0.00011,4.18535,5.9008,4.16551,0.00046438,0.00046438,0.00046438
19,138.289,4.0375,5.12394,3.98204,0.00051,0.06667,0.00043,0.00011,4.18485,5.88969,4.16664,0.000476264,0.000476264,0.000476264
20,145.366,3.61254,4.84129,4.05887,0.00026,0.03333,0.00018,9e-05,4.18387,5.87225,4.16813,0.000486564,0.000486564,0.000486564
21,152.335,3.47705,4.17372,4.02116,0.00051,0.06667,0.0004,0.00011,4.18094,5.85218,4.16962,0.00049528,0.00049528,0.00049528
22,159.477,3.4707,4.54889,3.91834,0.00051,0.06667,0.00039,0.00011,4.17804,5.81901,4.1714,0.000502412,0.000502412,0.000502412
23,166.593,3.68967,4.11943,3.78144,0.00026,0.03333,0.00018,8e-05,4.1734,5.77145,4.17217,0.00050796,0.00050796,0.00050796
24,173.561,3.51029,4.08292,3.91569,0.00051,0.06667,0.00038,0.0001,4.16499,5.71991,4.17325,0.000511924,0.000511924,0.000511924
25,180.512,3.87489,5.29517,3.84033,0.00026,0.03333,0.00018,9e-05,4.15758,5.68332,4.17402,0.000514304,0.000514304,0.000514304
26,187.548,3.74753,4.36937,3.84737,0.00026,0.03333,0.00018,9e-05,4.1474,5.65513,4.17501,0.0005151,0.0005151,0.0005151
27,194.764,3.58085,4.15427,3.68617,0.00051,0.06667,0.00039,0.00013,4.14475,5.61767,4.16877,0.000514312,0.000514312,0.000514312
28,201.766,3.45639,4.14743,3.75389,0.00051,0.06667,0.00039,0.00013,4.14475,5.61767,4.16877,0.00051194,0.00051194,0.00051194
29,208.869,3.70761,4.04626,3.57177,0.00026,0.03333,0.0002,0.00011,4.15487,5.60333,4.16363,0.000507984,0.000507984,0.000507984
30,215.977,3.64434,4.18732,3.72837,0.00051,0.06667,0.00043,0.00012,4.17825,5.56887,4.18976,0.000502444,0.000502444,0.000502444
31,222.976,3.10088,3.90611,3.63746,0.00051,0.06667,0.00043,0.00012,4.17825,5.56887,4.18976,0.00049532,0.00049532,0.00049532
32,229.886,3.73242,4.21099,3.45877,0.00051,0.06667,0.00039,0.00011,4.22019,5.5114,4.20194,0.000486612,0.000486612,0.000486612
33,237.074,3.48544,4.27748,3.74107,0.00051,0.06667,0.00045,0.00013,4.19004,5.48894,4.1941,0.00047632,0.00047632,0.00047632
34,244.056,3.55898,4.03039,3.4973,0.00051,0.06667,0.00045,0.00013,4.19004,5.48894,4.1941,0.000464444,0.000464444,0.000464444
35,251.061,3.61308,3.82686,3.45307,0.00051,0.06667,0.00054,0.00014,4.14322,5.45121,4.1401,0.000450984,0.000450984,0.000450984
36,258.091,3.37151,3.98547,3.74428,0.00051,0.06667,0.00062,0.00017,4.01105,5.55342,4.10846,0.00043594,0.00043594,0.00043594
37,265.005,3.64071,4.03231,3.60712,0.00051,0.06667,0.00062,0.00017,4.01105,5.55342,4.10846,0.000419312,0.000419312,0.000419312
38,272.015,3.10615,3.8944,3.69308,0.00051,0.06667,0.00364,0.0011,3.96225,5.57606,4.09327,0.0004011,0.0004011,0.0004011
39,279.007,2.92565,3.63293,3.57229,0.00051,0.06667,0.00309,0.00094,3.96637,5.55962,4.08646,0.000381304,0.000381304,0.000381304
40,285.974,3.68017,3.9091,3.61261,0.00051,0.06667,0.00309,0.00094,3.96637,5.55962,4.08646,0.000359924,0.000359924,0.000359924
41,292.945,3.2936,4.66773,3.3425,0.00051,0.06667,0.0026,0.00057,4.01554,5.4469,4.08623,0.00033696,0.00033696,0.00033696
42,300.296,2.85206,4.70983,3.44234,0.00051,0.06667,0.00056,0.00015,4.06197,5.30992,4.09863,0.000312412,0.000312412,0.000312412
43,307.447,3.50096,4.66443,3.50671,0.00051,0.06667,0.00056,0.00015,4.06197,5.30992,4.09863,0.00028628,0.00028628,0.00028628
44,314.629,3.34108,4.74594,3.31056,0.00051,0.06667,0.00052,0.00011,4.0818,5.20072,4.11179,0.000258564,0.000258564,0.000258564
45,321.899,3.02866,4.59772,3.51542,0.00051,0.06667,0.00052,0.00011,4.0818,5.20072,4.11179,0.000229264,0.000229264,0.000229264
46,328.967,3.49789,4.65513,3.52205,0.00051,0.06667,0.00054,0.00011,4.12897,5.15071,4.12886,0.00019838,0.00019838,0.00019838
47,335.877,3.1075,4.58912,3.44113,0.00051,0.06667,0.00054,0.00011,4.12897,5.15071,4.12886,0.000165912,0.000165912,0.000165912
48,342.985,3.08071,4.42594,3.46253,0.00051,0.06667,0.00052,0.00011,4.1476,5.1132,4.13403,0.00013186,0.00013186,0.00013186
49,350.302,3.21023,4.3414,3.48536,0.00051,0.06667,0.00052,0.00011,4.1476,5.1132,4.13403,9.6224e-05,9.6224e-05,9.6224e-05
50,357.555,3.24317,4.36664,3.38695,0.00051,0.06667,0.00055,0.00011,4.15359,5.09872,4.13271,5.9004e-05,5.9004e-05,5.9004e-05
